"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000923889082784045,1.92500976499119,0.579,0.174,1,"HER2+","GEMIN7"
0.000923948994910129,2.08096683310686,0.632,0.261,1,"HER2+","TAF6"
0.000923948994910129,1.49626685418602,0.632,0.261,1,"HER2+","NBPF11"
0.000925746733441856,1.97276880805261,0.895,0.609,1,"HER2+","EIF4G1"
0.000928266597457095,1.33543772125989,0.684,0.304,1,"HER2+","GUF1"
0.000928915868464103,1.54085737798739,0.842,0.565,1,"HER2+","ICE2"
0.000929381461392123,1.18340958381996,1,1,1,"HER2+","RPL21"
0.000932036924931988,2.77998577687615,0.789,0.478,1,"HER2+","EXOSC10"
0.000935968632844906,4.21690610021465,0.789,0.565,1,"HER2+","NME2"
0.000940406065607944,4.4085730097286,0.474,0.087,1,"HER2+","MRPS35"
0.000940406065607944,7.31961066374168,0.474,0.087,1,"HER2+","CRABP2"
0.000940406065607944,3.68915945862113,0.474,0.087,1,"HER2+","YIF1A"
0.000940493224416711,2.8704916366805,0.711,0.391,1,"HER2+","CEP152"
0.000940493224416711,2.4443706023844,0.711,0.391,1,"HER2+","IFI30"
0.00094091128723803,2.78289551448412,0.684,0.391,1,"HER2+","ZNF761"
0.000940992016638521,2.12103537586504,0.763,0.435,1,"HER2+","DNAH14"
0.000944305360027972,1.51667405522174,0.526,0.13,1,"HER2+","SDSL"
0.000946788636655191,2.06347141530505,0.789,0.696,1,"HER2+","CPPED1"
0.000947675262013907,2.73601710067953,0.605,0.174,1,"HER2+","TMEM126B"
0.000947926470747216,2.33722371714347,0.553,0.174,1,"HER2+","ZNF285"
0.000948492305867908,1.04442132427732,0.684,0.217,1,"HER2+","DNASE2"
0.000950951336621878,2.88202530825802,0.763,0.478,1,"HER2+","ANKRD17"
0.000950951336621878,1.66349283189997,0.763,0.478,1,"HER2+","PGAM5"
0.000950951336621878,3.7209251311928,0.711,0.565,1,"HER2+","RPS10"
0.000952914658160688,1.29812398646778,0.974,0.87,1,"HER2+","FAM177A1"
0.000954577366160139,3.06413104848325,0.658,0.348,1,"HER2+","NECTIN4"
0.000954577366160139,2.74779119159499,0.658,0.348,1,"HER2+","KIFBP"
0.000957580997399582,0.729263382025191,0.763,0.522,1,"HER2+","NUDT15"
0.000961912850243479,2.19786135386633,0.921,0.739,1,"HER2+","PPP1CB"
0.000961940847422867,2.05305925827202,0.763,0.348,1,"HER2+","MEFV"
0.000964829423065226,2.74919209339216,0.553,0.13,1,"HER2+","SLC39A10"
0.000966922264013079,2.99076254189565,0.737,0.478,1,"HER2+","QRICH1"
0.000967668140102459,2.71359586932353,0.658,0.304,1,"HER2+","DNAJC13"
0.000967668140102459,1.96059457240887,0.658,0.304,1,"HER2+","QNG1"
0.000971553682309384,2.0843194239077,0.921,0.826,1,"HER2+","ZNF562"
0.000974500608897771,3.47142854301219,0.605,0.261,1,"HER2+","PHB2"
0.000976475250670704,2.38078748174168,0.816,0.739,1,"HER2+","DBT"
0.000978102952621952,2.82821945901525,0.632,0.261,1,"HER2+","ARFIP1"
0.000979590859726134,1.65080028247351,0.737,0.435,1,"HER2+","MTBP"
0.000980026334341196,1.93613515841222,0.842,0.565,1,"HER2+","NUDC"
0.000981577448980157,2.30879435145366,0.684,0.304,1,"HER2+","PMF1"
0.000987644179023206,1.7018622857142,0.842,0.478,1,"HER2+","SAMD8"
0.000987644179023206,1.91940937111681,0.842,0.478,1,"HER2+","POLR2A"
0.000987644179023206,2.39448163505644,0.789,0.565,1,"HER2+","MAPK13"
0.000987644179023206,2.14286255001818,0.789,0.565,1,"HER2+","ACSF3"
